id;english;french
1;Cheese souffle;Soufflé au fromage;;
2;Chop suey, with meat, canned;Chop suey, avec viande, conserve;;
3;Chow mein, chicken, canned;Chow mein, poulet, conserve;;
4;Corn fritter;Maïs, beignet;;
5;Beef pot roast, with browned potatoes, peas and corn;Boeuf braisé, avec pomme de terre au four, pois et maïs;;
6;Fried chicken, mashed potatoes and vegetables;Poulet frit avec pommes de terre en purée et légumes;;
7;Meat loaf with tomato sauce, mashed potatoes and peas;Pain de viande avec sauce aux tomates, pommes de terre en purée et pois;;
8;Sliced turkey with mashed potatoes and peas;Dinde tranchée avec pommes de terre en purée et pois;;
9;Vinegar, cider;Vinaigre, cidre;;
10;Vinegar, distilled (white);Vinaigre, distillé (blanc);;
11;Butter, whipped;Beurre fouetté;;
12;Butter oil, anhydrous;Huile de beurre, anhydre;;
13;Cheese, blue;Fromage bleu;;
14;Cheese, brick;Fromage brick;;
15;Cheese, brie;Fromage brie;;
16;Cheese, camembert;Fromage camembert;;
17;Cheese, caraway;Fromage carvi;;
18;Cheese, cheshire;Fromage cheshire;;
19;Cheese, colby;Fromage colby;;
20;Cheese, cottage, creamed (4.5% M.F.);Fromage cottage en crème (4,5% M.G.);;
21;Cheese, cottage, creamed with fruit;Fromage cottage en crème avec fruits;;
22;Cheese, cottage, uncreamed, dry curd (0.4% M.F.);Fromage cottage pressé, non crème (0,4% M.G.);;
23;Cheese, cream;Fromage à la crème;;
24;Cheese, edam;Fromage edam;;
25;Cheese, fontina;Fromage fontina;;
26;Cheese, gjetost;Fromage gjetost;;
27;Cheese, gruyere;Fromage gruyère;;
28;Cheese, limburger;Fromage limburger (limbourg);;
29;Cheese, monterey;Fromage monterey;;
30;Cheese, mozzarella, (48% water, 25% M.F.);Fromage mozzarella (48%d'humidité, 25% M.G.);;
31;Cheese, muenster;Fromage muenster;;
32;Cheese, neufchatel;Fromage neufchatel;;
33;Cheese, parmesan, dry grated;Fromage parmesan, râpé;;
34;Cheese, parmesan, hard;Fromage parmesan, pâte dure;;
35;Cheese, port-salut;Fromage port-salut;;
36;Cheese, provolone;Fromage provolone;;
37;Cheese, ricotta, with whole milk;Fromage ricotta, avec lait entier;;
38;Cheese, ricotta, with partly skimmed milk;Fromage ricotta, avec lait partiellement écrémé;;
39;Cheese, romano;Fromage romano;;
40;Cheese, roquefort (blue);Fromage roquefort (bleu);;
41;Cheese, swiss (emmental);Fromage suisse (emmental);;
42;Cheese, tilsit, with whole milk;Fromage tilsit, avec lait entier;;
43;Cheese, processed, pimento;Fromage fondu, piments;;
44;Cheese, processed, swiss;Fromage fondu, suisse;;
45;Cheese, processed, cheddar, cold pack;Fromage fondu, préparation, cheddar, conditionné à froid;;
46;Cheese, processed food, swiss;Fromage fondu, préparation, suisse;;
47;Cream, whipped, cream topping, pressurized;Crème, garniture fouettée, sous pression (bombe);;
48;Eggnog, 7% M.F., Canadian product, 4% to 8% M.F.;Lait de poule, 7% M.G., produit canadien, 4% à 8% M.G.;;
49;Coffee whitener (non dairy), liquid;Colorant à café (non laitier), liquide;;
50;Dessert topping (non dairy), powdered;Garniture à dessert (non laitière), poudre;;
51;Dessert topping (non dairy), powdered, prepared with whole milk;Garniture à dessert (non laitière), poudre, préparée avec lait entier;;
52;Dessert topping (non dairy), pressurized;Garniture à dessert (non laitière), sous pression (bombe);;
53;Dessert topping (non dairy), frozen, semisolid;Garniture à dessert (non laitière), congelée, semi-solide;;
54;Milk, fluid, partly skimmed, 2% M.F.;Lait, partiellement écrémé, liquide, 2% M.G.;;
55;Milk, fluid, partly skimmed with added milk solids, 2% M.F.;Lait, liquide, partiellement écrémé, avec solides de lait, 2% M.G.;;
56;Milk, fluid, partly skimmed, 1% M.F.;Lait, liquide, partiellement écrémé, 1% M.G.;;
57;Milk, fluid, partly skimmed with added milk solids, 1% M.F.;Lait, liquide, partiellement écrémé, avec solides de lait, 1% M.G.;;
58;Milk, fluid, skim with added milk solids;Lait, liquide, écrémé, avec solides de lait;;
59;Milk, dry whole;Lait, poudre, entier;;
60;Milk, dry, buttermilk, sweet cream;Babeurre, poudre, crème douce;;
61;Milk, condensed, sweetened, canned;Lait, concentré, sucré, conserve;;
62;Milk, fluid, chocolate, whole;Lait, liquide, chocolat, entier;;
63;Milk, fluid, chocolate, partly skimmed, 2% M.F.;Lait, liquide, chocolat, partiellement écrémé, 2% M.G.;;
64;Hot chocolate, cocoa, homemade, prepared with 2% milk;Chocolat chaud, cacao, maison, préparé avec lait 2% m.g.;;
65;Milk, fluid, goat, enriched, whole;Lait, liquide, chèvre, enrichi, entier;;
66;Milk, fluid, human (breast milk), whole, mature;Lait, liquide, humain (lait maternelle), parfait (mature), entier;;
67;Milk, fluid, sheep, whole;Lait, liquide, brebis, entier;;
68;Milk shake, chocolate, thick;Lait frappé, chocolat, épais;;
69;Milk shake, vanilla, thick;Lait frappé, vanille, épais;;
70;Whey, acid, fluid;Lactoserum, acide, liquide;;
71;Whey, acid, dry;Lactoserum, acide, poudre;;
72;Whey, sweet, fluid;Lactoserum, sucré, liquide;;
73;Whey, sweet, dry;Lactoserum, sucré, poudre;;
74;Yogourt, plain, 1% to 2% M.F.;Yogourt, nature, 1% to 2% M.G.;;
75;Egg, chicken, dried, whole;Oeuf, poule, déshydraté, entier;;
76;Egg, chicken, dried, whole, stabilized;Oeuf, poule, déshydraté, entier, stabilisé;;
77;Egg, chicken, white, pan dried, flakes;Oeuf, poule, blanc, séché, flocons;;
78;Egg, chicken, white, spray dried, powder;Oeuf, poule, blanc, séché/pulverisation, poudre;;
79;Egg, chicken, yolk, dried;Oeuf, poule, jaune, déshydraté;;
80;Egg, duck, whole, fresh, raw;Oeuf, canard, entier, frais, cru;;
81;Egg, goose, whole, fresh, raw;Oeuf, oie, entier, frais, cru;;
82;Egg, quail, whole, fresh, raw;Oeuf, caille, entier, frais, cru;;
83;Egg, turkey, whole, fresh, raw;Oeuf, dinde, entier, frais, cru;;
84;Butter, unsalted;Beurre, sans sel;;
85;Cheese, parmesan, shredded;Fromage parmesan, râpé en filaments;;
